geração,radius,energia,pontos,velocidade,percepcao,distance,meanDistance
8,0.074851,19.397804,55.000000,0.745812,0.585672,0.017280,0.035255
8,0.076361,15.262877,49.000000,0.757307,0.559024,0.021199,0.035255
8,0.072285,17.594753,46.000000,0.729649,0.606142,0.056173,0.035255
8,0.075363,15.365499,45.000000,0.747877,0.567596,0.009165,0.035255
8,0.071887,15.652388,34.000000,0.722852,0.618812,0.072863,0.035255
8,0.072887,9.550130,33.000000,0.733344,0.592932,0.039945,0.035255
9,0.075461,23.970430,70.000000,0.752479,0.573888,0.000000,0.021390
9,0.074408,20.016932,65.000000,0.749053,0.564944,0.015740,0.021390
9,0.076718,19.941620,56.000000,0.751567,0.559657,0.021800,0.021390
9,0.074509,20.094810,55.000000,0.733701,0.577380,0.021504,0.021390
9,0.072981,16.177639,51.000000,0.725045,0.598334,0.047974,0.021390
9,0.075800,17.942955,47.000000,0.755857,0.572279,0.005191,0.021390
9,0.073558,10.102348,47.000000,0.736967,0.592537,0.033859,0.021390
9,0.075009,20.034544,42.000000,0.742724,0.571790,0.011067,0.021390
9,0.074882,17.977104,40.000000,0.754137,0.571143,0.006932,0.021390
9,0.074639,14.081728,27.000000,0.735572,0.590970,0.028448,0.021390
10,0.075461,22.902233,63.000000,0.752479,0.573888,0.000000,0.022832
10,0.075861,18.956230,56.000000,0.743923,0.562630,0.016947,0.022832
10,0.074147,25.086382,56.000000,0.736207,0.584722,0.024916,0.022832
10,0.076250,16.825857,56.000000,0.757748,0.584312,0.016116,0.022832
10,0.074691,12.972962,55.000000,0.747661,0.553648,0.026881,0.022832
10,0.074975,15.062874,49.000000,0.735078,0.553979,0.030753,0.022832
10,0.074656,15.002693,49.000000,0.744156,0.579115,0.013298,0.022832
10,0.074220,16.878731,43.000000,0.761620,0.567218,0.017526,0.022832
10,0.074189,13.032922,42.000000,0.742721,0.591397,0.027130,0.022832
10,0.077784,12.711304,31.000000,0.763655,0.558824,0.031924,0.022832
11,0.073295,18.182396,75.000000,0.752959,0.564653,0.000000,0.144132
11,0.075461,24.018124,68.000000,0.752479,0.573888,0.024548,0.144132
11,0.076835,19.767548,61.000000,0.761178,0.578469,0.040232,0.144132
11,0.074988,20.336950,60.000000,0.734456,0.568769,0.025599,0.144132
11,0.056066,8.331306,60.000000,0.988433,0.627018,0.302011,0.144132
11,0.074177,16.234219,50.000000,0.745124,0.575774,0.018232,0.144132
11,0.077383,11.846268,46.000000,0.753671,0.585955,0.048789,0.144132
11,0.073797,8.119225,38.000000,0.754453,0.570666,0.009161,0.144132
11,0.054496,10.619308,32.000000,0.665669,0.676884,0.250286,0.144132
11,0.049946,9.541138,10.000000,0.256173,0.710308,0.578330,0.144132
12,0.064578,22.316204,79.000000,0.872117,0.597362,0.000000,0.168489
12,0.076113,14.713772,65.000000,0.758733,0.576217,0.163893,0.168489
12,0.055999,13.900784,64.000000,0.987940,0.627183,0.148878,0.168489
