geração,radius,energia,pontos,velocidade,percepcao,distance,meanDistance
8,0.051683,15.334463,49.000000,0.829253,0.473674,0.027469,0.024487
8,0.048903,11.487421,45.000000,0.827678,0.504231,0.030614,0.024487
8,0.050282,13.460871,41.000000,0.820549,0.494023,0.026432,0.024487
8,0.048956,17.585583,37.000000,0.810908,0.492292,0.035670,0.024487
8,0.050924,9.487192,37.000000,0.811125,0.489082,0.035031,0.024487
8,0.050002,11.370005,31.000000,0.837443,0.487830,0.007642,0.024487
9,0.050682,21.923134,69.000000,0.826417,0.502712,0.000000,0.028229
9,0.049877,15.867325,65.000000,0.844187,0.485133,0.029385,0.028229
9,0.047936,26.076981,63.000000,0.817680,0.488858,0.033618,0.028229
9,0.049186,19.998291,62.000000,0.823582,0.499497,0.015754,0.028229
9,0.050243,17.835190,53.000000,0.847412,0.476444,0.039219,0.028229
9,0.051259,21.943176,48.000000,0.817785,0.487997,0.021120,0.028229
9,0.048966,13.897217,48.000000,0.846010,0.490269,0.030339,0.028229
9,0.052008,13.813492,36.000000,0.837075,0.478878,0.034306,0.028229
9,0.048984,11.963936,31.000000,0.832328,0.503959,0.018054,0.028229
9,0.048688,15.919281,25.000000,0.843958,0.488062,0.032262,0.028229
10,0.050682,23.836599,58.000000,0.826417,0.502712,0.000000,0.028443
10,0.051157,17.785751,58.000000,0.832185,0.490954,0.016487,0.028443
10,0.049394,23.780085,58.000000,0.847992,0.485315,0.033231,0.028443
10,0.047488,17.949314,56.000000,0.831226,0.478771,0.044037,0.028443
10,0.051157,25.821577,54.000000,0.825427,0.492929,0.013153,0.028443
10,0.048720,17.853836,53.000000,0.839536,0.491378,0.027530,0.028443
10,0.050911,9.808504,53.000000,0.829899,0.478615,0.030408,0.028443
10,0.048305,11.846603,47.000000,0.844546,0.473634,0.047061,0.028443
10,0.050720,19.762346,43.000000,0.840165,0.486020,0.024990,0.028443
10,0.049719,9.929049,20.000000,0.816364,0.492264,0.019091,0.028443
11,0.049502,26.664654,85.000000,0.831297,0.486761,0.000000,0.147009
11,0.049353,10.646466,64.000000,0.834816,0.495827,0.011959,0.147009
11,0.050682,16.625095,59.000000,0.826417,0.502712,0.023677,0.147009
11,0.050207,16.669176,59.000000,0.824883,0.479215,0.013410,0.147009
11,0.046816,18.790525,52.000000,0.838528,0.481316,0.028639,0.147009
11,0.049262,18.629618,47.000000,0.837688,0.498623,0.016323,0.147009
11,0.048297,16.881847,45.000000,0.813741,0.479606,0.023096,0.147009
11,0.069082,19.610926,40.000000,0.595568,0.515112,0.308481,0.147009
11,0.057734,10.292902,28.000000,0.550697,0.424960,0.302456,0.147009
11,0.068235,17.267813,21.000000,0.331742,0.697544,0.595036,0.147009
12,0.049268,19.083523,68.000000,0.834518,0.497643,0.000000,0.106637
12,0.049502,17.092262,60.000000,0.831297,0.486761,0.014173,0.106637
12,0.058075,28.383926,59.000000,0.572173,0.587738,0.298770,0.106637
12,0.049491,11.105686,55.000000,0.829474,0.487839,0.013438,0.106637
12,0.062975,22.961052,53.000000,0.440554,0.562152,0.424851,0.106637
12,0.058008,15.449196,47.000000,0.719259,0.499686,0.144668,0.106637
12,0.048099,11.128740,46.000000,0.838026,0.486958,0.018093,0.106637
12,0.050421,19.091873,40.000000,0.823745,0.492837,0.016880,0.106637
12,0.048828,23.167553,40.000000,0.826109,0.490001,0.013467,0.106637
12,0.048519,7.193396,32.000000,0.824946,0.490092,0.015390,0.106637
13,0.049141,14.942093,62.000000,0.831512,0.488727,0.000000,0.099281
13,0.049268,18.911963,61.000000,0.834518,0.497643,0.011614,0.099281
13,0.049808,32.945389,56.000000,0.825480,0.492503,0.010157,0.099281
13,0.053158,19.612177,55.000000,0.706470,0.539284,0.145750,0.099281
13,0.053044,19.108948,54.000000,0.778198,0.493260,0.066315,0.099281
13,0.049673,12.889530,52.000000,0.834123,0.495259,0.010092,0.099281
13,0.048679,10.978725,50.000000,0.830427,0.494908,0.009067,0.099281
13,0.053506,17.097282,47.000000,0.776390,0.494094,0.070628,0.099281
13,0.053051,15.626678,44.000000,0.705036,0.538782,0.146423,0.099281
13,0.062615,10.909332,19.000000,0.439932,0.559598,0.423481,0.099281
14,0.051750,23.502071,63.000000,0.764904,0.515680,0.000000,0.067914
14,0.049141,19.196918,61.000000,0.831512,0.488727,0.079072,0.067914
14,0.051058,19.273785,61.000000,0.804489,0.494832,0.047895,0.067914
14,0.049511,21.190994,60.000000,0.829280,0.488633,0.076084,0.067914
14,0.050681,15.313551,60.000000,0.801571,0.496745,0.044934,0.067914
14,0.051833,21.232975,47.000000,0.804414,0.494602,0.047496,0.067914
14,0.049333,13.181088,46.000000,0.832238,0.496461,0.075468,0.067914
14,0.049680,15.196692,43.000000,0.827023,0.491092,0.072331,0.067914
14,0.055295,16.176689,34.000000,0.632207,0.529452,0.138424,0.067914
14,0.053488,9.575706,25.000000,0.741198,0.517809,0.029518,0.067914
15,0.049669,15.934067,74.000000,0.832611,0.494760,0.000000,0.047648
15,0.051750,18.183327,63.000000,0.764904,0.515680,0.075507,0.047648
15,0.050092,15.931123,58.000000,0.829673,0.491056,0.006930,0.047648
15,0.051624,17.988541,54.000000,0.805847,0.493051,0.033216,0.047648
15,0.052961,26.351168,51.000000,0.720334,0.512809,0.119161,0.047648
15,0.053216,18.072855,49.000000,0.776893,0.504772,0.067228,0.047648
15,0.050251,18.084396,47.000000,0.797088,0.504736,0.038095,0.047648
15,0.052046,16.135483,45.000000,0.772708,0.502884,0.065243,0.047648
15,0.049843,20.007309,37.000000,0.816285,0.490674,0.017195,0.047648
15,0.049307,13.944618,22.000000,0.833526,0.490744,0.006257,0.047648
16,0.052923,27.668171,72.000000,0.779569,0.501671,0.000000,0.035127
16,0.049669,21.503664,66.000000,0.832611,0.494760,0.062828,0.035127
16,0.050929,21.591280,60.000000,0.807682,0.497933,0.034781,0.035127
16,0.049362,21.520155,58.000000,0.832423,0.496037,0.064119,0.035127
16,0.052466,13.741040,54.000000,0.770631,0.501577,0.010039,0.035127
16,0.052417,17.863310,49.000000,0.749833,0.503144,0.030220,0.035127
16,0.050952,15.810889,45.000000,0.769808,0.518601,0.030522,0.035127
16,0.050272,13.718030,39.000000,0.791269,0.507120,0.029772,0.035127
16,0.050764,11.573607,38.000000,0.811958,0.491413,0.040984,0.035127
16,0.051784,11.753403,19.000000,0.773562,0.501631,0.012877,0.035127
17,0.049584,19.502052,64.000000,0.833593,0.490379,0.000000,0.048921
17,0.052923,25.668171,60.000000,0.779569,0.501671,0.065063,0.048921
17,0.050997,17.614502,55.000000,0.803250,0.486177,0.033881,0.048921
17,0.052096,23.537128,54.000000,0.807516,0.497196,0.037198,0.048921
17,0.051292,7.749171,53.000000,0.777995,0.498169,0.058974,0.048921
17,0.051963,23.687801,52.000000,0.783422,0.503724,0.057980,0.048921
17,0.052305,21.754410,51.000000,0.769524,0.505354,0.072082,0.048921
17,0.050484,15.572031,43.000000,0.814471,0.503840,0.027016,0.048921
17,0.049062,13.608178,41.000000,0.820013,0.506501,0.024854,0.048921
17,0.051887,7.722538,27.000000,0.778087,0.506134,0.063239,0.048921
18,0.052650,17.934044,73.000000,0.792363,0.497993,0.000000,0.026933
18,0.050362,12.023915,66.000000,0.792343,0.506447,0.025201,0.026933
18,0.050110,27.886038,57.000000,0.821571,0.496707,0.038735,0.026933
18,0.049584,19.846596,53.000000,0.833593,0.490379,0.052254,0.026933
18,0.050766,19.971575,51.000000,0.799566,0.498991,0.020206,0.026933
18,0.052231,15.961569,49.000000,0.790208,0.491054,0.009867,0.026933
18,0.050809,11.921944,43.000000,0.808944,0.492521,0.025700,0.026933
18,0.050038,11.974324,43.000000,0.804816,0.493658,0.029437,0.026933
18,0.050540,21.962761,33.000000,0.803088,0.499000,0.023697,0.026933
18,0.051374,20.038769,32.000000,0.781540,0.501535,0.017300,0.026933
19,0.049099,30.343273,79.000000,0.801699,0.509882,0.000000,0.033645
19,0.050431,22.235167,62.000000,0.816442,0.483273,0.038743,0.033645
19,0.052650,20.264597,60.000000,0.792363,0.497993,0.039610,0.033645
19,0.050921,18.309658,56.000000,0.795172,0.491657,0.029894,0.033645
19,0.050303,30.376919,52.000000,0.783959,0.488170,0.034589,0.033645
19,0.049839,14.273539,47.000000,0.812297,0.483675,0.035217,0.033645
19,0.051680,16.259640,44.000000,0.800900,0.497597,0.030049,0.033645
19,0.051172,12.304861,42.000000,0.794341,0.495473,0.028435,0.033645
19,0.052815,10.241876,36.000000,0.796282,0.507357,0.037688,0.033645
19,0.051054,8.292464,22.000000,0.798160,0.493451,0.028578,0.033645
20,0.051297,21.588394,60.000000,0.791726,0.493955,0.000000,0.019411
20,0.049099,23.633247,58.000000,0.801699,0.509882,0.031290,0.019411
20,0.052532,13.533484,56.000000,0.791221,0.495131,0.012452,0.019411
20,0.049789,11.596340,55.000000,0.802303,0.487322,0.020196,0.019411
20,0.052124,21.586727,52.000000,0.785691,0.484547,0.015595,0.019411
20,0.049575,15.569447,50.000000,0.808520,0.493920,0.024053,0.019411
20,0.051971,13.508907,49.000000,0.799438,0.491263,0.010781,0.019411
20,0.051274,17.601707,44.000000,0.789722,0.489229,0.006243,0.019411
20,0.049245,21.621180,41.000000,0.802537,0.514768,0.034850,0.019411
20,0.050795,15.507591,35.000000,0.808850,0.499710,0.019240,0.019411
21,0.049192,25.719467,70.000000,0.813807,0.508713,0.000000,0.189293
21,0.050026,19.723206,67.000000,0.806339,0.498571,0.016910,0.189293
21,0.051297,21.749172,65.000000,0.791726,0.493955,0.035648,0.189293
21,0.050926,17.747952,62.000000,0.794821,0.504332,0.026288,0.189293
21,0.052899,15.746155,60.000000,0.780171,0.487037,0.056916,0.189293
21,0.051613,23.602070,56.000000,0.814690,0.479876,0.043426,0.189293
21,0.048377,19.814253,42.000000,0.803399,0.487410,0.029729,0.189293
21,0.095673,9.187466,36.000000,0.648046,0.619218,0.512444,0.189293
21,0.047784,13.365406,25.000000,0.435568,0.491417,0.379118,0.189293
21,0.073545,13.561165,17.000000,0.291960,0.652190,0.603154,0.189293
22,0.049192,26.986439,71.000000,0.813807,0.508713,0.000000,0.148083
22,0.050639,16.992226,70.000000,0.801327,0.502057,0.020840,0.148083
22,0.050674,13.006693,63.000000,0.799121,0.500535,0.023233,0.148083
22,0.051056,18.995783,60.000000,0.797575,0.497051,0.028694,0.148083
22,0.061250,22.272533,51.000000,0.552182,0.579270,0.301272,0.148083
22,0.073724,12.362936,45.000000,0.730299,0.549544,0.264116,0.148083
22,0.050470,19.076992,40.000000,0.791274,0.487211,0.037327,0.148083
22,0.062365,14.304122,38.000000,0.542194,0.579401,0.314538,0.148083
22,0.050730,12.925712,35.000000,0.809410,0.489173,0.029195,0.148083
22,0.062594,16.295406,27.000000,0.542590,0.574604,0.313534,0.148083
23,0.049935,14.253761,67.000000,0.807696,0.504278,0.000000,0.106259
23,0.056031,21.089121,63.000000,0.672122,0.533908,0.153193,0.106259
23,0.049192,18.253410,58.000000,0.813807,0.508713,0.011100,0.106259
23,0.049813,8.261087,55.000000,0.807888,0.504450,0.001249,0.106259
23,0.056605,21.053331,53.000000,0.672806,0.540530,0.157155,0.106259
23,0.055732,19.074200,49.000000,0.675648,0.537683,0.150138,0.106259
23,0.051062,20.238583,48.000000,0.800345,0.498837,0.015080,0.106259
23,0.056518,11.111357,40.000000,0.666662,0.532965,0.159719,0.106259
23,0.050405,24.269720,36.000000,0.802203,0.502945,0.007424,0.106259
23,0.061973,9.858183,31.000000,0.548205,0.579911,0.301271,0.106259
24,0.049935,19.556801,65.000000,0.807696,0.504278,0.000000,0.143008
24,0.049365,23.569733,65.000000,0.810196,0.505678,0.006467,0.143008
24,0.055722,16.086262,58.000000,0.676704,0.543115,0.151210,0.143008
24,0.056390,24.104458,57.000000,0.669477,0.536853,0.157889,0.143008
24,0.052735,19.846565,55.000000,0.737884,0.518109,0.077179,0.143008
24,0.055877,14.094845,53.000000,0.674246,0.530982,0.149847,0.143008
24,0.053528,15.803435,50.000000,0.739688,0.519502,0.079237,0.143008
24,0.049269,27.564474,40.000000,0.811855,0.509356,0.010097,0.143008
24,0.056451,10.091755,33.000000,0.671349,0.535368,0.156036,0.143008
24,0.040000,9.660769,24.000000,0.336265,0.400000,0.499106,0.143008
25,0.049935,22.579521,81.000000,0.807696,0.504278,0.000000,0.132924
25,0.049281,24.585281,65.000000,0.812351,0.507649,0.009064,0.132924
25,0.052608,14.947015,56.000000,0.743432,0.517925,0.071663,0.132924
25,0.055620,17.318043,52.000000,0.677669,0.538543,0.148235,0.132924
25,0.053053,12.975899,49.000000,0.736800,0.520740,0.080136,0.132924
25,0.052613,8.928154,41.000000,0.745688,0.524883,0.072289,0.132924
25,0.054520,15.161110,40.000000,0.704206,0.523996,0.115847,0.132924
25,0.054325,21.154076,40.000000,0.706347,0.530260,0.115124,0.132924
25,0.047747,18.708336,39.000000,0.507575,0.472693,0.303496,0.132924
25,0.046303,16.608740,37.000000,0.534947,0.460858,0.280458,0.132924
26,0.051438,28.894236,72.000000,0.777040,0.513544,0.000000,0.067908
26,0.049935,10.742401,69.000000,0.807696,0.504278,0.036053,0.067908
26,0.048171,17.822495,51.000000,0.672340,0.480086,0.117381,0.067908
26,0.051144,16.922455,50.000000,0.775718,0.510690,0.004803,0.067908
26,0.051504,14.893340,48.000000,0.776654,0.510801,0.003512,0.067908
26,0.053282,19.218552,46.000000,0.722512,0.522047,0.058537,0.067908
26,0.048396,11.811012,45.000000,0.672537,0.483517,0.115128,0.067908
26,0.048934,19.888634,45.000000,0.656870,0.490845,0.125986,0.067908
26,0.049693,16.749802,42.000000,0.808740,0.506495,0.037242,0.067908
26,0.055580,15.458115,32.000000,0.676267,0.536054,0.112531,0.067908
27,0.051438,27.204813,67.000000,0.777040,0.513544,0.000000,0.067753
27,0.050154,25.645485,67.000000,0.722237,0.492334,0.062218,0.067753
27,0.050107,13.172050,64.000000,0.791889,0.506579,0.021754,0.067753
27,0.052033,11.349171,52.000000,0.752367,0.512342,0.025426,0.067753
27,0.049636,17.688408,51.000000,0.719348,0.491625,0.066360,0.067753
27,0.050021,21.640488,46.000000,0.723955,0.497145,0.058641,0.067753
27,0.049294,22.062492,43.000000,0.660855,0.488300,0.122287,0.067753
27,0.048932,12.072037,42.000000,0.661651,0.486558,0.122801,0.067753
27,0.051004,15.257692,41.000000,0.772916,0.515663,0.006541,0.067753
27,0.048899,10.079281,27.000000,0.660636,0.486775,0.123749,0.067753
28,0.051438,27.670679,77.000000,0.777040,0.513544,0.000000,0.060693
28,0.051221,17.856178,70.000000,0.747029,0.503140,0.032778,0.060693
28,0.049080,14.229713,57.000000,0.693488,0.484624,0.094039,0.060693
28,0.050591,21.851191,51.000000,0.752544,0.497033,0.033129,0.060693
28,0.051421,19.917519,50.000000,0.734835,0.499307,0.045804,0.060693
28,0.050556,15.870255,45.000000,0.749456,0.504784,0.030959,0.060693
28,0.049758,10.080854,44.000000,0.717118,0.503001,0.063610,0.060693
28,0.048736,26.404760,42.000000,0.660622,0.484614,0.124862,0.060693
28,0.051695,11.669954,40.000000,0.775226,0.514915,0.003584,0.060693
28,0.048992,14.370333,24.000000,0.665969,0.490014,0.117471,0.060693
29,0.051438,19.825964,66.000000,0.777040,0.513544,0.000000,0.049856
29,0.049779,18.161453,66.000000,0.726384,0.499980,0.055934,0.049856
29,0.050958,21.981316,61.000000,0.752285,0.502368,0.028827,0.049856
29,0.051744,19.901848,56.000000,0.761093,0.514755,0.016309,0.049856
29,0.051692,27.827549,54.000000,0.774844,0.514544,0.003587,0.049856
29,0.050579,18.129555,46.000000,0.726837,0.505604,0.051888,0.049856
29,0.050796,16.035149,42.000000,0.743364,0.495570,0.040988,0.049856
29,0.049559,8.279774,42.000000,0.704178,0.494567,0.078894,0.049856
29,0.049869,16.221161,41.000000,0.713844,0.502774,0.066490,0.049856
29,0.049217,14.412380,26.000000,0.678837,0.487562,0.105790,0.049856
30,0.051438,22.058903,75.000000,0.777040,0.513544,0.000000,0.038137
30,0.051943,16.084736,60.000000,0.768085,0.519295,0.012547,0.038137
30,0.052025,26.079687,59.000000,0.768492,0.513750,0.010375,0.038137
30,0.050246,20.369585,56.000000,0.720539,0.495664,0.061917,0.038137
30,0.049842,14.296094,56.000000,0.739581,0.498558,0.044817,0.038137
30,0.050886,18.226009,51.000000,0.746859,0.514289,0.030696,0.038137
30,0.049750,18.420572,44.000000,0.712710,0.501018,0.068324,0.038137
30,0.051034,18.224258,41.000000,0.746139,0.501271,0.034734,0.038137
30,0.050645,14.217177,37.000000,0.750488,0.508638,0.028379,0.038137
30,0.050522,14.324943,21.000000,0.728346,0.502474,0.051444,0.038137
31,0.051355,16.000853,72.000000,0.773882,0.521779,0.000000,0.134043
31,0.051438,25.981256,68.000000,0.777040,0.513544,0.010799,0.134043
31,0.051757,22.162205,61.000000,0.739105,0.506731,0.039742,0.134043
31,0.051605,24.014656,58.000000,0.769333,0.505420,0.021097,0.134043
31,0.052090,14.039392,56.000000,0.760959,0.511485,0.019663,0.134043
31,0.052290,16.006836,49.000000,0.765786,0.516600,0.013958,0.134043
31,0.060770,23.336521,48.000000,0.409836,0.439039,0.389988,0.134043
31,0.050627,18.117424,40.000000,0.756360,0.503165,0.030022,0.134043
31,0.070182,10.298407,28.000000,0.610741,0.419496,0.280015,0.134043
31,0.057508,13.452589,20.000000,0.382678,0.470803,0.401106,0.134043
32,0.051355,16.078581,66.000000,0.773882,0.521779,0.000000,0.113849
32,0.051282,24.093542,60.000000,0.772958,0.509953,0.014828,0.113849
32,0.052006,16.088106,56.000000,0.768088,0.509022,0.018172,0.113849
32,0.051919,24.065041,56.000000,0.770990,0.516045,0.009571,0.113849
32,0.051686,10.395921,52.000000,0.739532,0.507064,0.039105,0.113849
32,0.060573,16.687935,50.000000,0.412182,0.441212,0.386608,0.113849
32,0.051960,14.106030,43.000000,0.766670,0.514691,0.012926,0.113849
32,0.055944,21.500427,42.000000,0.591972,0.469992,0.198464,0.113849
32,0.065356,13.811852,40.000000,0.512434,0.428697,0.318586,0.113849
32,0.051689,10.232207,35.000000,0.756115,0.506411,0.026379,0.113849
33,0.051355,24.308409,75.000000,0.773882,0.521779,0.000000,0.123546
33,0.051350,18.371845,60.000000,0.759270,0.513593,0.017838,0.123546
