geração,radius,energia,pontos,velocidade,percepcao,distance,meanDistance
8,0.079346,14.090858,49.000000,0.838935,0.521358,0.026068,0.023094
8,0.079645,9.945301,48.000000,0.852808,0.524972,0.029669,0.023094
8,0.075592,22.140579,46.000000,0.854031,0.520069,0.016375,0.023094
8,0.077605,16.427689,45.000000,0.810926,0.526465,0.034315,0.023094
8,0.077621,14.127094,44.000000,0.844267,0.509126,0.020076,0.023094
8,0.077305,12.283012,28.000000,0.828787,0.512814,0.021204,0.023094
9,0.076811,14.989628,73.000000,0.844146,0.523820,0.000000,0.015469
9,0.076272,17.017868,73.000000,0.843136,0.524215,0.005500,0.015469
9,0.077098,23.010347,64.000000,0.839667,0.523856,0.005322,0.015469
9,0.078010,20.851568,58.000000,0.856624,0.527163,0.017806,0.015469
9,0.075564,11.211248,48.000000,0.819154,0.523888,0.027928,0.015469
9,0.075643,16.983124,43.000000,0.851557,0.519728,0.014748,0.015469
9,0.077836,12.877821,42.000000,0.853998,0.517656,0.016173,0.015469
9,0.077544,19.005611,36.000000,0.837915,0.511045,0.018644,0.015469
9,0.075568,19.025429,32.000000,0.845980,0.505681,0.025919,0.015469
9,0.076760,15.017994,31.000000,0.840434,0.528722,0.007181,0.015469
10,0.100000,19.250000,78.000000,1.000000,0.800000,0.000000,0.665079
10,0.100000,25.250000,71.000000,1.000000,0.400000,0.500000,0.665079
10,0.076811,19.400133,61.000000,0.844146,0.523820,0.444123,0.665079
10,0.100000,11.250000,54.000000,1.000000,0.400000,0.500000,0.665079
10,0.040000,24.099993,51.000000,1.000000,0.800000,0.600000,0.665079
10,0.040000,18.099993,48.000000,1.000000,0.400000,0.781025,0.665079
10,0.040000,12.099993,44.000000,1.000000,0.467769,0.729702,0.665079
10,0.040000,16.907194,40.000000,0.758395,0.400000,0.817541,0.665079
10,0.040000,12.099993,27.000000,1.000000,0.400000,0.781025,0.665079
10,0.077042,15.853628,26.000000,0.200000,0.800000,0.832291,0.665079
11,0.100000,28.750000,90.000000,1.000000,0.800000,0.000000,0.559352
11,0.100000,18.750000,83.000000,1.000000,0.800000,0.000000,0.559352
11,0.100000,14.750000,65.000000,1.000000,0.400000,0.500000,0.559352
11,0.040000,19.899992,58.000000,1.000000,0.400000,0.781025,0.559352
11,0.041282,16.431913,44.000000,0.850601,0.630828,0.641732,0.559352
11,0.096533,13.821854,40.000000,0.907976,0.760943,0.109791,0.559352
11,0.067968,18.634151,38.000000,0.618681,0.689995,0.516639,0.559352
11,0.040000,12.764585,32.000000,0.767001,0.400000,0.815039,0.559352
11,0.095773,15.579029,27.000000,0.289353,0.400000,0.869946,0.559352
11,0.100000,13.789995,23.000000,0.200000,0.800000,0.800000,0.559352
12,0.100000,19.500000,80.000000,1.000000,0.800000,0.000000,0.435578
12,0.100000,15.500000,59.000000,1.000000,0.400000,0.500000,0.435578
12,0.100000,19.500000,59.000000,1.000000,0.800000,0.000000,0.435578
12,0.055066,19.522026,55.000000,1.000000,0.800000,0.449338,0.435578
12,0.100000,17.500000,54.000000,1.000000,0.800000,0.000000,0.435578
12,0.100000,23.831852,53.000000,0.694124,0.698225,0.331277,0.435578
12,0.100000,15.500000,52.000000,1.000000,0.400000,0.500000,0.435578
12,0.078936,18.726450,48.000000,0.959990,0.400000,0.544032,0.435578
12,0.048366,8.453983,33.000000,0.842814,0.400000,0.735741,0.435578
12,0.040000,9.733976,7.000000,0.384434,0.784684,0.859818,0.435578
13,0.100000,17.250000,73.000000,1.000000,0.800000,0.000000,0.337663
13,0.096409,11.492377,73.000000,1.000000,0.800000,0.035908,0.337663
13,0.084966,24.264828,70.000000,1.000000,0.637309,0.252903,0.337663
13,0.100000,13.348104,52.000000,0.992706,0.692101,0.135071,0.337663
13,0.081032,8.530354,42.000000,1.000000,0.400000,0.534770,0.337663
13,0.100000,9.823298,41.000000,0.786621,0.794244,0.213500,0.337663
13,0.078646,17.872711,40.000000,0.881743,0.520219,0.426487,0.337663
13,0.100000,19.623606,38.000000,0.593346,0.507350,0.546980,0.337663
13,0.078289,18.734442,38.000000,0.786096,0.800000,0.304782,0.337663
13,0.073375,10.503129,33.000000,0.840259,0.400000,0.588562,0.337663
14,0.099986,11.839330,74.000000,0.995704,0.746574,0.000000,0.148558
14,0.098130,21.947302,67.000000,0.999720,0.799846,0.069243,0.148558
14,0.100000,3.750000,62.000000,1.000000,0.800000,0.066920,0.148558
14,0.092519,12.516764,54.000000,1.000000,0.718976,0.082361,0.148558
14,0.100000,9.818854,54.000000,0.893399,0.796548,0.119868,0.148558
14,0.089220,11.894749,47.000000,0.941431,0.659635,0.162310,0.148558
14,0.090613,12.712189,45.000000,1.000000,0.600485,0.205306,0.148558
14,0.086782,14.476097,44.000000,0.919698,0.600699,0.237613,0.148558
14,0.100000,11.487432,38.000000,0.797103,0.654388,0.229611,0.148558
14,0.089146,2.726199,15.000000,0.892210,0.799439,0.163789,0.148558
15,0.098909,21.075756,72.000000,0.997853,0.771705,0.000000,0.080680
15,0.099986,11.043583,71.000000,0.995704,0.746574,0.033276,0.080680
15,0.094601,23.551491,70.000000,0.969784,0.701469,0.101747,0.080680
15,0.100000,19.027740,63.000000,0.997221,0.772401,0.010959,0.080680
15,0.096439,17.184868,54.000000,0.999293,0.734782,0.052370,0.080680
15,0.095198,11.257912,50.000000,0.998125,0.673848,0.127827,0.080680
15,0.093313,17.704302,47.000000,0.959533,0.672487,0.141356,0.080680
15,0.099991,19.526047,35.000000,0.945979,0.773131,0.053019,0.080680
15,0.094439,5.785732,25.000000,0.944713,0.772124,0.069444,0.080680
15,0.099997,7.982878,13.000000,0.896353,0.699669,0.136120,0.080680
16,0.098909,21.814386,75.000000,0.997853,0.771705,0.000000,0.039635
16,0.099119,21.802490,72.000000,0.998211,0.757153,0.018315,0.039635
16,0.097213,19.906509,62.000000,0.995384,0.725294,0.060494,0.039635
16,0.099257,17.795427,59.000000,0.998355,0.775511,0.005915,0.039635
16,0.096774,20.028854,51.000000,0.982619,0.739357,0.048200,0.039635
